T÷TULO COMPLETO DO LIVRO ;AUTOR DO LIVRO;;;;
1, 2, 3 UM REI DE CADA VEZ;SARA REBELLO DA SILVA;;;;
1,2,3 - TURMA DA M‡NICA;MAUR÷CIO DE SOUSA;;;;
100 HIST‡RIAS ∑ LAREIRA: HIST‡RIAS DE ENCANTAR PARA LER DE DIA OU ∑ NOITE, AO DEITAR;ALAIN JOST, IMELDA HEUSCHEN E FRANÄOISE;;;;
100 HIST‡RIAS DE TODO O MUNDO;ALVARO MAGALH«ES;;;;
100 HIST‡RIAS DO MEU CRESCER;ALEXANDRE HONRADO;;;;
101 DµLMATAS;WALT DISNEY;;;;
102 DµLMATAS;WALT DISNEY;;;;
120 HIST‡RIAS PARA ADORMECER;VµRIOS;;;;
1ß DIREITO;RICARDO HENRIQUES;;;;
2 HIST‡RIAS DE NATAL;ALICE VIEIRA;;;;
200 AMIGOS (OU MAIS) PARA UMA VACA;ALESSIA GARILLI;;;;
28 HIST‡RIAS PARA RIR;URSULA WôLFEL;;;;
5 MINUTOS DE PAZ;JILL MURPHY;;;;
8 HORAS- NA ESCOLA DE QUEIJO!;GERONIMO STILTON;;;;
A ALDEIA DAS FLORES;ANT‡NIO MOTA;;;;
A ARCA DO TESOURO;ALICE VIEIRA;;;;
A ARIA ê UMA ALEGRIA;ANA OOM;;;;
A µRVORE DA ESCOLA;ANTONIO SANDOVAL;;;;
A µRVORE DA ESCOLA;ANT‡NIO SANDOVAL;;;;
A µRVORE DA ESCOLA ;ANTONIO SANDOVAL;;;;
A AVENTURA NO MAR;ENID BLYTON;;;;
A BALEIA  ;BENJI DAVIES;;;;
A BARATA DIZ QUE TEM ;ANA OOM;;;;
A BELA ADORMECIDA;ANA OOM;;;;
A BELA ADORMECIDA;IRM«OS GRIMM;;;;
A BELA DORMECIDA;ANA OOM;;;;
A BELA E A FERA ;CLARICE LISPECTOR;;;;
A BELA E O MONSTRO;IRM«OS GRIMM;;;;
A BELA E O MONSTRO;JEANNE-MARIE DE BEAUMONT;;;;
A BELA E O MONSTRO;JEANNE-MARIE LEPRINCE DE BEAUMONT;;;;
A BELA E O MONSTRO;MYRIAM SAYALERO;;;;
A BELA E O MONSTRO;WALT DISNEY;;;;
A B÷BLIA - ANTIGO TESTAMENTO ;VµRIOS;;;;
A BOLA AMARELA;DANIEL FEHR;;;;
A BONECA PALMIRA;MATILDE ROSA ARAÈJO;;;;
A BONEQUINHA TAGARELA;FERNANDO TERRA;;;;
A BRANCA DE NEVE;IRM«OS GRIMM;;;;
A BRANCA DE NEVE;WALT DISNEY;;;;
A BRANCA DE NEVE E OS SETE ANÂES;IRM«OS GRIMM;;;;
A BRANCA DE NEVE E OS SETE ANÂES;VµRIOS;;;;
A BRANCA DE NEVE E OS SETE ANÂES;WALT DISNEY;;;;
A BRINCAR, A BRINCAR? VAMOS Lµ RIMAR;ALEXANDRE PARAFITA;;;;
A BRUXA ARREGANHADENTES;TINA MEROTO;;;;
A BRUXA ARREGANHADENTES ;TINA MEROTO;;;;
A BRUXA CARTUXA ∑ PROCURA DO PRIMO ECO;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A BRUXA CARTUXA NA FLORESTA DOS SEGREDOS;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A BRUXA CARTUXA NA ILHA DO TESOURO N.ß 4;ISABEL ALÄADA E ANA MARIA MAGALH«ES;;;;
A BRUXA CARTUXA NAS PISTAS DA NEVE;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A BRUXA CARTUXA NO CASTELO DAS CINCO TORRES;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A BRUXA CARTUXA NO HOTEL ASSOMBRADO N.ß 6;ISABEL ALÄADA E ANA MARIA MAGALH«ES;;;;
A BRUXA E O C«O ;SUE MCMILLAN;;;;
A BRUXA MIMI;VALERIE THOMAS;;;;
A BRUXA MIMI;VALERIETHOMAS;;;;
A BRUXA MIMI E A VARINHA MµGICA;VALERIE THOMAS;;;;
A BRUXA MIMI E O DRAG«O DA MEIA-NOITE;VALERIE THOMAS;;;;
A BRUXA MIMI NO INVERNO;VALERIE THOMAS;;;;
A BRUXA MIMI VAI ∑ PRAIA;VALERIE THOMAS;;;;
A BRUXA MITUXA;MILU LOUREIRO;;;;
A BRUXA NO CASTELO DAS CINCO TORRES;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A BRUXA ZêZINHA;CARLA ANTUNES;;;;
A CABELEIREIRA ENCANTADA E A RAPUNZEL;ABBIE LONGSTAFF;;;;
A CAIXA DE SAUDADES;ROSµRIO ALÄADA ARAÈJO;;;;
A CAIXA DE SAUDADES ;ROSµRIO ALÄADA ARAÈJO;;;;
A CAIXA MµGICA DOS BRINQUEDOS;VµRIOS;;;;
A CAIXA MµGICA E OUTRAS HIST‡RIAS;RAQUEL DELGADO;;;;
A CAMILA FAZ XIXI NAS CALÄAS;NANCY DELVAUX;;;;
A CANÄ«O DA BICHARADA ;LU÷SA COSTA GOMES;;;;
A CANTIGA DO CAÄADOR E OUTRAS HIST‡RIAS;ANT‡NIO TORRADO;;;;
A CAROCHINHA;FµTIMA SOBRAL;;;;
A CAROCHINHA E O JO«O RAT«O;ANA OOM;;;;
A CAROCHINHA E O JO«O RAT«O;LU÷SA DACOSTA;;;;
A CAROCHINHA E O JO«O RAT«O ;LU÷SA DACOSTA;;;;
A CARRINHA MµGICA;JOANNA COLE;;;;
A CASA ASSOMBRADA;VIRG÷NIA WOLF;;;;
A CASA DA MOSCA FOSCA;EVA MEJUTO;;;;
A CASA MAL ASSOMBRADA;JAN PIENKOWSKI;;;;
A CASINHA DE CHOCOLATE;JACOB GRIMM E WILHELM GRIMM;;;;
A CASINHA DE CHOCOLATE;JAKOB GRIMM E WILHELM GRIMM;;;;
A CASINHA DE TITA CAROCHINHA ;MARIA CAROLINA PEREIRA ROSA;;;;
A CIDADE DOS C«ES E OUTRAS HIST‡RIAS;LU÷SA DACOSTA;;;;
A CIGARRA E A FORMIGA;JEAN DE LA FONTAINE;;;;
A CIGARRA E A FORMIGA;LU÷SA DACOSTA;;;;
A COR DAS VOGAIS;VERG÷LIO ALBERTO VIEIRA;;;;
