book_name;book_author
1, 2, 3 UM REI DE CADA VEZ;SARA REBELLO DA SILVA
1,2,3 - TURMA DA MÓNICA;MAURÍCIO DE SOUSA
100 HISTÓRIAS À LAREIRA: HISTÓRIAS DE ENCANTAR PARA LER DE DIA OU À NOITE, AO DEITAR;ALAIN JOST, IMELDA HEUSCHEN E FRANÇOISE
100 HISTÓRIAS DE TODO O MUNDO;ALVARO MAGALHÃES
100 HISTÓRIAS DO MEU CRESCER;ALEXANDRE HONRADO
101 DÁLMATAS;WALT DISNEY
102 DÁLMATAS;WALT DISNEY
120 HISTÓRIAS PARA ADORMECER;VÁRIOS
1º DIREITO;RICARDO HENRIQUES
2 HISTÓRIAS DE NATAL;ALICE VIEIRA
200 AMIGOS (OU MAIS) PARA UMA VACA;ALESSIA GARILLI
28 HISTÓRIAS PARA RIR;URSULA WÖLFEL
5 MINUTOS DE PAZ;JILL MURPHY
8 HORAS- NA ESCOLA DE QUEIJO!;GERONIMO STILTON
A ALDEIA DAS FLORES;ANTÓNIO MOTA
A ARCA DO TESOURO;ALICE VIEIRA
A ARIA É UMA ALEGRIA;ANA OOM
A ÁRVORE DA ESCOLA;ANTONIO SANDOVAL
A ÁRVORE DA ESCOLA;ANTÓNIO SANDOVAL
A ÁRVORE DA ESCOLA ;ANTONIO SANDOVAL
A AVENTURA NO MAR;ENID BLYTON
A BALEIA  ;BENJI DAVIES
A BARATA DIZ QUE TEM ;ANA OOM
A BELA ADORMECIDA;ANA OOM
A BELA ADORMECIDA;IRMÃOS GRIMM
A BELA DORMECIDA;ANA OOM
A BELA E A FERA ;CLARICE LISPECTOR
A BELA E O MONSTRO;IRMÃOS GRIMM
A BELA E O MONSTRO;JEANNE-MARIE DE BEAUMONT
A BELA E O MONSTRO;JEANNE-MARIE LEPRINCE DE BEAUMONT
A BELA E O MONSTRO;MYRIAM SAYALERO
A BELA E O MONSTRO;WALT DISNEY
A BÍBLIA - ANTIGO TESTAMENTO ;VÁRIOS
A BOLA AMARELA;DANIEL FEHR
A BONECA PALMIRA;MATILDE ROSA ARAÚJO
A BONEQUINHA TAGARELA;FERNANDO TERRA
A BRANCA DE NEVE;IRMÃOS GRIMM
A BRANCA DE NEVE;WALT DISNEY
A BRANCA DE NEVE E OS SETE ANÕES;IRMÃOS GRIMM
A BRANCA DE NEVE E OS SETE ANÕES;VÁRIOS
A BRANCA DE NEVE E OS SETE ANÕES;WALT DISNEY
A BRINCAR, A BRINCAR… VAMOS LÁ RIMAR;ALEXANDRE PARAFITA
A BRUXA ARREGANHADENTES;TINA MEROTO
A BRUXA ARREGANHADENTES ;TINA MEROTO
A BRUXA CARTUXA À PROCURA DO PRIMO ECO;ANA MARIA MAGALHÃES E ISABEL ALÇADA
A BRUXA CARTUXA NA FLORESTA DOS SEGREDOS;ANA MARIA MAGALHÃES E ISABEL ALÇADA
A BRUXA CARTUXA NA ILHA DO TESOURO N.º 4;ISABEL ALÇADA E ANA MARIA MAGALHÃES
A BRUXA CARTUXA NAS PISTAS DA NEVE;ANA MARIA MAGALHÃES E ISABEL ALÇADA
A BRUXA CARTUXA NO CASTELO DAS CINCO TORRES;ANA MARIA MAGALHÃES E ISABEL ALÇADA
A BRUXA CARTUXA NO HOTEL ASSOMBRADO N.º 6;ISABEL ALÇADA E ANA MARIA MAGALHÃES
A BRUXA E O CÃO ;SUE MCMILLAN
A BRUXA MIMI;VALERIE THOMAS
A BRUXA MIMI;VALERIETHOMAS
A BRUXA MIMI E A VARINHA MÁGICA;VALERIE THOMAS
A BRUXA MIMI E O DRAGÃO DA MEIA-NOITE;VALERIE THOMAS
A BRUXA MIMI NO INVERNO;VALERIE THOMAS
A BRUXA MIMI VAI À PRAIA;VALERIE THOMAS
A BRUXA MITUXA;MILU LOUREIRO
A BRUXA NO CASTELO DAS CINCO TORRES;ANA MARIA MAGALHÃES E ISABEL ALÇADA
A BRUXA ZÉZINHA;CARLA ANTUNES
A CABELEIREIRA ENCANTADA E A RAPUNZEL;ABBIE LONGSTAFF
A CAIXA DE SAUDADES;ROSÁRIO ALÇADA ARAÚJO
A CAIXA DE SAUDADES ;ROSÁRIO ALÇADA ARAÚJO
A CAIXA MÁGICA DOS BRINQUEDOS;VÁRIOS
A CAIXA MÁGICA E OUTRAS HISTÓRIAS;RAQUEL DELGADO
A CAMILA FAZ XIXI NAS CALÇAS;NANCY DELVAUX
A CANÇÃO DA BICHARADA ;LUÍSA COSTA GOMES
A CANTIGA DO CAÇADOR E OUTRAS HISTÓRIAS;ANTÓNIO TORRADO
A CAROCHINHA;FÁTIMA SOBRAL
A CAROCHINHA E O JOÃO RATÃO;ANA OOM
A CAROCHINHA E O JOÃO RATÃO;LUÍSA DACOSTA
A CAROCHINHA E O JOÃO RATÃO ;LUÍSA DACOSTA
A CARRINHA MÁGICA;JOANNA COLE
A CASA ASSOMBRADA;VIRGÍNIA WOLF
A CASA DA MOSCA FOSCA;EVA MEJUTO
A CASA MAL ASSOMBRADA;JAN PIENKOWSKI
A CASINHA DE CHOCOLATE;JACOB GRIMM E WILHELM GRIMM
A CASINHA DE CHOCOLATE;JAKOB GRIMM E WILHELM GRIMM
A CASINHA DE TITA CAROCHINHA ;MARIA CAROLINA PEREIRA ROSA
A CIDADE DOS CÃES E OUTRAS HISTÓRIAS;LUÍSA DACOSTA
A CIGARRA E A FORMIGA;JEAN DE LA FONTAINE
A CIGARRA E A FORMIGA;LUÍSA DACOSTA
A COR DAS VOGAIS;VERGÍLIO ALBERTO VIEIRA
A CORAGEM DE TIÇÃO;LUÍS REPRESAS
A COTOVIA VIA... VIA… PORQUE EMIGRAM AS PESSOAS?;ANA MAFALDA DAMIÃO
A DAMA E O VAGABUNDO;CHERYL HOLT
A DAMA E O VAGABUNDO;WALT DISNEY
A DE ANA;CATHERINE RAMBERT
A E I O U – HISTÓRIA DAS CINCO VOGAIS;LUÍSA DACOSTA
A ERVA MILAGROSA;ROSA LOBATO FARIA
A ESCOLA DOS PIRATAS I;SIR STEVE STEVENSON
À ESPERA DO PAI NATAL;STEVE METZGER
A ESTRANHA VISITA;GRACIA IGLESIAS
A ESTRELA CADENTE  ;HOLLY LANSLEY
A ESTRELA DE LAURA;KLAUS BAUMGART
A ESTRELINHA PÁLIDA;PEDRO SEROMENHO
A EXPLORAÇÃO DO ESPAÇO;DAVID SHAYLER
A FÁBRICA DOS CORAÇÕES;ARTURO ABAD
A FADA CAROLINA;EMMA THOMSON
A FADA DO DENTINHO;JANEY LOUISE JONES
A FADA DOS DENTES;LUÍSA DACOSTA
A FADA DOS DENTES ;LUÍSA DACOSTA
A FADA ORIANA;SOPHIA DE MELLO BREYNER ANDRESEN
A FADA PALAVRINHA E O GIGANTE DAS BLIBLIOTECAS;LUÍSA DACOSTA
A FADA PARTIU A ASA;MUNDOS DE VIDA
A FAMÍLIA MONSTRO - A MALDIÇÃO DO OFELIAKROM;BRUNO MATOS
A FAMÍLIA MONSTRO - O TORNEIO DOS FEITICEIROS;BRUNO MATOS
A FAMÍLIA MONSTRO - O TORNEIO DOS FEITICEIROS ;BRUNO MATOS
A FAMÍLIA ROBINSON;JOHANN WYSS
A FAMÍLIA SOLUAS;MARIA DE LOURDES SOARES
A FAMOSA ESCOLA COR-DE-ROSA ;PEDRO LEITÃO
A FERA DO PALÁCIO;DAVID WALLIAMS
A FESTA DE ANOS;LUÍSA DACOSTA
A FESTA DE ANOS DO TOMÁS ;HELENA SIMAS
A FILHA DO GRUFALÃO;JULIA DONALDSON
A FILHA DO GRUFALÃO ;JULIA DONALDSON
A FLAUTA MARAVILHOSA;ANTÓNIO MOTA
A FLOR VAI VER O MAR;ALVES REDOL
A FLORESTA;SOPHIA DE MELLO BREYNER ANDRESEN
A FLORESTA;VALÉRIE VIDEAU
A FORMIGA HORRIPILANTE;LIZ PICHON
A FORMIGUINHA DESCALÇA;MATILDE ROSA ARAÚJO
A FUGA DA ERVILHA;PEDRO SEROMENHO E PATRÍCIA FIGUEIREDO
A GALINHA DOS OVOS DE OIRO;WALT DISNEY
A GALINHA DOS OVOS DOURADOS;ANA MARIA MAGALHÃES
A GALINHA MEDROSA ;ANTÓNIO MOTA
A GALINHA RUIVA;ANTÓNIO TORRADO
A GALINHA RUIVA;LEO TIMMERS
A GANSA DOS OVOS DE OURO;HARPREET KAUR
A GARRAFA MÁGICA ;SARA RODI
A GATA BORRALHEIRA;CHARLES PERRAULT
A GATA GATILDE;ANA MARIA MAGALHÃES E ISABEL ALÇADA
A GATA TARECA E OUTROS POEMAS LEVADOS DA BRECA;LUÍSA DACOSTA
A GATINHA CELESTE;RUBÉN PUJOL
A GATINHA DE NATAL;CAROLINE REPCHUCK
A GIGANTESCA PEQUENA COISA ;BEATRICE ALEMAGNA
A GIRAFA QUE COMIA ESTRELAS;JOSÉ EDUARDO AGUALUSA
A GIRAFA QUE QUERIA TER RISCAS;MARGARIDA JOSUÉ
A GRANDE BIRRA;TOM JAMIESON
A GRANDE FÁBRICA DE PALAVRAS;AGNÈS DE LESTRADE
A GRANDE MISSÃO;RITA GUAPO
A GRANDE RECOMPENSA;BARBARA O' CONNOR
A GRANDE VIAGEM À VOLTA DO MUNDO;GERONIMO STILTON
A GUERRA DAS FADAS;HERBIE BRENNAN
A GUERRA DOS NÚMEROS;JUAN DARIÉN
A HISTÓRIA DA CAROCHINHA;ISABEL PIZARRO MADUREIRA E LÚCIA VIDAL SOARES
A HISTÓRIA DA CAROCHINHA E DO INFELIZ DO JOÃO RATÃO;ANTÓNIO TORRADO
A HISTÓRIA DA JÚLIA E DA SUA SOMBRA DE MENINO;CHRISTIAN BRUEL
A HISTÓRIA DA PAPOILA;LUÍSA DACOSTA
A HISTÓRIA DAS CINCO VOGAIS;LUÍSA DACOSTA
A HISTÓRIA DE D. CARLOS;RUI RAMOS
A HISTÓRIA DE UM BOTÃO;MARIA JOÃO CARVALHO
A HISTÓRIA DE VAN GOGH E O RAPAZ DOS GIRASSÓIS;LAURENCE ANHOLT
A HISTÓRIA DO NATAL;SÉRGIO FRANCLIM
A HISTÓRIA DO PEDRITO COELHO;BEATRIX POTTER
A HISTÓRIA DO PEDRITO COELHO;BEATRIZ POTTER
A HISTÓRIA DO PLANETA TERRA;ABIGAIL WHEATLEY
A HORTA DO CHICÃO;RITA FREITAS
A HORTA DO SIMÃO;ROCÍO ALEJANDRO
A ILHA DO AVÔ;BENJI DAVIES
A ILHA DOS GUARDADORES DE ARANHAS;MARGARIDA ARAÚJO E JOÃO HOFFMAN
A ILHA DOS PÁSSAROS DOIDOS;CLARA PINTO CORREIA
A ILHA NEGRA ;HERGÉ
A INCRÍVEL FUGA DO MEU AVÔ;DAVID WALLIAMS
A JOANINHA VAIDOSA;ANA MARIA MAGALHÃES E ISABEL ALÇADA
A LAGARTINHA MUITO COMILONA;CHRISTIAN VOLTZ
A LEBRE E A TARTARUGA;ANA OOM
A LENDA DOS TRIPEIROS;ANA OOM
A LINDA SUSANA E OUTRAS HISTÓRIAS;ANTÓNIO TORRADO
A MAIOR FLOR DO MUNDO;JOSÉ SARAMAGO
A MALA ASSOMBRADA;DAVID MACHADO
A MALDIÇÃO DA ESTRELA MORTA (CRÓNICAS DO VAMPIRO VALENTIM);ALVARO MAGALHÃES
A MAMÃ PÔS UM OVO;BABETTE COLE
A MANTA;ISABEL MINHÓS MARTINS
A MANTA DO JOSÉ ;MIGUEL GOUVEIA
A MÁQUINA DE FAZER PALAVRAS;JOSÉ VAZ
A MARATONA MAIS LOUCA DO MUNDO!;GERONIMO STILRON
A MARATONA MAIS LOUCA DO MUNDO!;GERONIMO STILTON
A MARATONA MAIS LOUCA DO MUNDO! ;GERONIMO STILRON
A MARATONA MAIS LOUCO DO MUNDO! ;GERONIMO STILRON
A MARIANA E A LARA ZANGAM-SE;CHRISTIAN LAMBLIN
A MENINA COM OS OLHOS OCUPADOS;ANDRÉ CARRILHO
A MENINA DAS ROSAS;JOÃO M. RIBEIRO
A MENINA DO MAR;SOPHIA DE MELLO BREYNER ANDRESEN
A MENINA E OS TRÊS URSINHOS;VAIJAYANTI SAVANT TONPE 
A MENINA GOTINHA DE ÁGUA;PAPIANO CARLOS
A MENINA GOTINHA DE ÁGUA;PAPINIANO CARLOS
A MENINA QUE DESENHAVA CORAÇÕES;SÓNIA SOUSA
A MENINA QUE DETESTAVA LIVROS;MANJUSHA PAWAGI
A MENINA QUE NÃO GOSTAVA DE FRUTA;CIDÁLIA FERNANDES
A MENINA QUE NÃO QUERIA LIVROS;LUÍSA DACOSTA
A MENINA QUE NÃO SABIA CONTAR;ELISABETE PEREIRA
A MENINA QUE QUERIA SER MAÇÃ;JOSÉ EDUARDO AGUALUSA
A MENINA QUE SORRIA A DORMIR;ISABEL ZAMBUJAL
A MIGRAÇÃO DAS ALFORRECAS;RUI CERQUEIRA COELHO
A MINHA  ENCICLOPÉDIA  DOS  ANIMAIS;STEPHANIE LEDU
A MINHA CASA ASSOMBRADA;ANGIE SAGE
A MINHA ESCOLA DAVA UM FILME;JR. RODRY
A MINHA MÃE;ANTHONY BROWNE
A MINHA MÃE É A MELHOR DO MUNDO;MARIA JOÃO LOPO DE CARVALHO
A MINHA PRIMEIRA BIBLIOTECA - O MUNDO EM QUE VIVEMOS  ;ROGÉRIO MOREIRA
A MINHA PRIMEIRA ENCICLOPÉDIA DE GEOGRAFIA;VÁRIOS
A MINHA PRIMEIRA ENCICLOPÉDIA DOS OCEANOS E DOS MARES;BEN DENNE
A MINHA PROFESSORA É UM MONSTRO!;PETER BROWN
A MINHA TERRA;ALAIN CORBEL E JOÃO PAULO COTRIM
A MINHA VIDA É UM FILME;PAULA PIMENTA
A MINHA VIDA É UM FILME ;PAULA PIMENTA
A MONTANHA DE LIVROS MAIS ALTA DO MUNDO;ROCIO BONILLA
A MORCEGUITA DESTRAMBELHADA;ISABEL RICARDO
A MOSQUITO;INÊS DE OLIVEIRA
A MÚMIA SEM NOME;GERONIMO STILTON
A NAMORADA JAPONESA DO MEU AVÔ;JOSÉ FANHA
A NASCENTE DE TINTA;PEDRO SEROMENHO
A NATUREZA- RESPOSTAS ÀS PERGUNTAS DAS CRIANÇAS;EMMANUELLE PAROISSIEN
A NOITE DE NATAL;CLEMENT C. MOORE
A NOITE DE NATAL;SOPHIA DE MELLO BREYNER ANDRESEN
A NOITE DE NATAL ;SOPHIA DE MELLO BREYNER ANDRESEN
A NOITE DE NATAL DO OLAF;JESSICA JULIUS
A NOITE DE NATAL DO PALHAÇO JOÃO-SURPRESA;DUGALD STEER
A NOITE DOS ANIMAIS INVENTADOS;DAVID MACHADO
A ODISSEIA DE HOMERO;JOÃO DE BARROS
A OFICINA DO PAI NATAL;CRISTINA QUENTAL E MARIANA MAGALHÃES
A OFICINA DO SENHOR SARAIVA;ANA NOBRE DE GUSMÃO
A ORQUESTRA;AVALON
